STOP_ID,DIRECTION_ID,STATION_DESCRIPTIVE_NAME,MAP_ID,Location
30140,W,Cottage Grove (Green Line),40720,"(41.780309, -87.605857)"
30037,S,Sox-35th (Red Line),40190,"(41.831191, -87.630636)"
30182,S,Midway (Orange Line),40930,"(41.78661, -87.737875)"
30116,S,Damen (Blue Line),40590,"(41.909744, -87.677437)"
30215,N,Halsted (Orange Line),41130,"(41.84678, -87.648088)"
30212,S,Monroe (Red Line),41090,"(41.880745, -87.627696)"
30075,W,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380,"(41.885737, -87.630886)"
30241,N,Central (Purple Line),41250,"(42.063987, -87.685617)"
30005,E,Pulaski (Green Line),40030,"(41.885412, -87.725404)"
30120,W,Ridgeland (Green Line),40610,"(41.887159, -87.783661)"
30176,S,"Howard (Red, Purple & Yellow lines)",40900,"(42.019063, -87.672892)"
30204,S,Linden (Purple Line),41050,"(42.073153, -87.69073)"
30010,N,Davis (Purple Line),40050,"(42.04771, -87.683543)"
30223,N,Garfield (Red Line),41170,"(41.79542, -87.631157)"
30073,S,Washington (Blue Line),40370,"(41.883164, -87.62944)"
30126,S,North/Clybourn (Red Line),40650,"(41.910655, -87.649177)"
30065,S,Grand (Red Line),40330,"(41.891665, -87.628021)"
30105,N,Wilson (Red & Purple lines),40540,"(41.964273, -87.657588)"
30035,W,Oak Park (Blue Line),40180,"(41.872108, -87.791602)"
30023,S,35th/Archer (Orange Line),40120,"(41.829353, -87.680622)"
30163,N,South Boulevard (Purple Line),40840,"(42.027612, -87.678329)"
30006,W,Pulaski (Green Line),40030,"(41.885412, -87.725404)"
30188,W,Cicero (Blue Line),40970,"(41.871574, -87.745154)"
30109,N,Jackson (Red Line),40560,"(41.878153, -87.627596)"
30230,S,Argyle (Red Line),41200,"(41.973453, -87.65853)"
30281,N,Irving Park (Brown Line),41460,"(41.954521, -87.674868)"
30080,N,"Roosevelt (Red, Orange & Green lines)",41400,"(41.867405, -87.62659)"
30181,N,Midway (Orange Line),40930,"(41.78661, -87.737875)"
30026,N,Dempster-Skokie  (Yellow Line),40140,"(42.038951, -87.751919)"
30167,N,Francisco (Brown Line),40870,"(41.966046, -87.701644)"
30030,E,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",40160,"(41.8768, -87.631739)"
30146,S,Harlem (Blue Line - O'Hare Branch),40750,"(41.98227, -87.8089)"
30013,S,Belmont (Blue Line),40060,"(41.938132, -87.712359)"
30086,E,California (Pink Line),40440,"(41.854109, -87.694774)"
30143,E,Western (Pink Line),40740,"(41.854225, -87.685129)"
30192,S,69th (Red Line),40990,"(41.768367, -87.625724)"
30141,N,"Washington/Wells (Brown, Orange, Purple & Pink lines)",40730,"(41.882695, -87.63378)"
30286,S,Harrison (Red Line),41490,"(41.874039, -87.627479)"
30221,E,Clinton (Green & Pink lines),41160,"(41.885678, -87.641782)"
30294,S,Sheridan (Red Line),40080,"(41.953775, -87.654929)"
30258,S,"Belmont (Red, Brown & Purple lines)",41320,"(41.939751, -87.65338)"
30242,S,Central (Purple Line),41250,"(42.063987, -87.685617)"
30203,N,Linden (Purple Line),41050,"(42.073153, -87.69073)"
30220,S,Kedzie (Orange Line),41150,"(41.804236, -87.704406)"
30250,S,Kimball (Brown Line),41290,"(41.967901, -87.713065)"
30178,S,63rd (Red Line),40910,"(41.780536, -87.630952)"
30234,S,"Fullerton (Red, Brown & Purple lines)",41220,"(41.925051, -87.652866)"
30278,S,Addison (Brown Line),41440,"(41.947028, -87.674642)"
30174,S,"Howard (Red, Purple & Yellow lines)",40900,"(42.019063, -87.672892)"
30238,S,47th (Red Line),41230,"(41.810318, -87.63094)"
30382,S,Cermak-McCormick Place (Green Line),41690,"(41.853115, -87.626402)"
30208,W,Kedzie (Green Line),41070,"(41.884321, -87.706155)"
30189,E,Harlem (Blue Line - Forest Park Branch),40980,"(41.87349, -87.806961)"
30056,E,Ashland/63rd (Green Line),40290,"(41.77886, -87.663766)"
30119,E,Ridgeland (Green Line),40610,"(41.887159, -87.783661)"
30298,S,Oakton-Skokie (Yellow Line),41680,"(42.02624348, -87.74722084)"
30139,E,Cottage Grove (Green Line),40720,"(41.780309, -87.605857)"
30122,S,Clark/Division (Red Line),40630,"(41.90392, -87.631412)"
30251,N,Loyola (Red Line),41300,"(42.001073, -87.661061)"
30295,E,Morgan (Green & Pink lines),41510,"(41.885586, -87.652193)"
30019,S,Damen (Brown Line),40090,"(41.966286, -87.678639)"
30205,N,Ashland (Orange Line),41060,"(41.839234, -87.665317)"
30131,N,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",40680,"(41.879507, -87.626037)"
30160,S,Rosemont (Blue Line),40820,"(41.983507, -87.859388)"
30058,N,Indiana (Green Line),40300,"(41.821732, -87.621371)"
30118,W,Kostner (Pink Line),40600,"(41.853751, -87.733258)"
30066,N,Berwyn (Red Line),40340,"(41.977984, -87.658668)"
30103,N,Diversey (Brown & Purple lines),40530,"(41.932732, -87.653131)"
30247,N,Jefferson Park (Blue Line),41280,"(41.970634, -87.760892)"
30183,E,Halsted (Green Line),40940,"(41.778943, -87.644244)"
30275,N,87th (Red Line),41430,"(41.735372, -87.624717)"
30210,S,47th (Green Line),41080,"(41.809209, -87.618826)"
30271,N,Chicago (Blue Line),41410,"(41.896075, -87.655214)"
30284,S,Western (Brown Line),41480,"(41.966163, -87.688502)"
30077,W,Forest Park (Blue Line),40390,"(41.874257, -87.817318)"
30112,S,California  (Blue Line),40570,"(41.921939, -87.69689)"
30254,S,Paulina (Brown Line),41310,"(41.943623, -87.670907)"
30007,N,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",40040,"(41.878723, -87.63374)"
30091,S,Merchandise Mart (Brown & Purple lines),40460,"(41.888969, -87.633924)"
30051,W,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",40260,"(41.88574, -87.627835)"
30094,E,Cicero (Green Line),40480,"(41.886519, -87.744698)"
30260,S,Montrose (Blue Line),41330,"(41.961539, -87.743574)"
30042,E,Western (Blue Line - Forest Park Branch),40220,"(41.875478, -87.688436)"
30285,N,Harrison (Red Line),41490,"(41.874039, -87.627479)"
30127,N,Armitage (Brown & Purple lines),40660,"(41.918217, -87.652644)"
30227,N,Jarvis (Red Line),41190,"(42.015876, -87.669092)"
30017,S,Sheridan (Red Line),40080,"(41.953775, -87.654929)"
30003,E,Harlem/Lake (Green Line),40020,"(41.886848, -87.803176)"
30277,N,Addison (Brown Line),41440,"(41.947028, -87.674642)"
30255,N,"Belmont (Red, Brown & Purple lines)",41320,"(41.939751, -87.65338)"
30136,W,Laramie (Green Line),40700,"(41.887163, -87.754986)"
30249,N,Kimball (Brown Line),41290,"(41.967901, -87.713065)"
30191,N,69th (Red Line),40990,"(41.768367, -87.625724)"
30050,E,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",40260,"(41.88574, -87.627835)"
